aid,uid
19WLicxrTnELYJovZowewT,7
0QF3ZdXCHXFTOo1exdRNQk,27
1awxPOVnpuIVBb336oE7E3,41
0xMFjTpcN1zaf1ZU5NaNmk,41
06iIl4IfaJnZ19GqOovQAn,7
1iIxNEvPPmdFIIP0tdpw6G,40
0qlhpgr87PEG89Jd5iRpxe,23
58d3Ihj0hKcyB2jWRczz8q,11
2goXy71dKyAtTGcLPer1ti,8
6xfvWKj2fyfNJV2B638ORl,4
2SO4aqT8yXQjufs0DhVS61,11
6RbM1kZasTGImE3GS0BfXM,7
4tzxCsdhR0IIUNyzwrag4C,19
3pPHLLecNGUHm0dqmJ6BRD,47
74Hj7BmnUXyx2udrIEIKwX,18
7yY4g7PFA7pPNIzjI1wNUt,15
27A12UIlenEiLoCbYk8KaA,29
42aKOZOUTiO5DmS1FF4nVN,7
6B9CQVIr0x7wQVtynbZt47,22
6hj2p7pzusn5Fcdi35Yedr,35
45eNHdiiabvmbp4erw26rg,2
1o9BVUqRZodtEGsD9s6t57,26
74pi4wcNMJ20RYsbbEmA46,15
7JtGUwNdBwxCuypR5vU8YH,45
4R2ZYivtzTvluDXS48Z2RL,25
0OpWIlokQeE7BNQMhuu2Nx,1
2pDPdtt7TxbHcBtryp3Nrz,36
4E7AV8mtElSjHZP3xA9kyU,23
2QMMktUMtwMSwUZATX1cRO,16
2PfdG80w32OmeVDQpTpToA,39
7GklfVLAXAgRjh6Y0yOgMq,4
7t5qhn89RAzTepqZBB4uob,26
2qpchAUtJNY45rG7auwQgz,33
2QOIawHpSlOwXDvSqQ9YJR,25
6NGdU8Ovzpyovq50TRjjHN,14
6203wnH5ZX6U1s3CYacHKx,1
19IfNSUIDUoz5OA5c2POvE,37
2b11wiyKYTLCpaVHif8Kxp,33
197MEJ6lXwJXav4BstjTxl,6
21FQEGv5DfVAmai2gJo6Vm,46
3ikKyCOrsMeANi0d5u8BCR,26
6VHHcd5N703uYCjFGcjW9E,31
4YwKgwaMdWIzTPKCsESdRq,35
5axa2hbZnvT5TP2IFLXoit,5
5aIqB5nVVvmFsvSdExz408,32
2m3QTMNI89DEFSlvmnayPE,13
0xjKQuOm5vHxEvcHSmkPml,43
5OvQ8g54fWhffM2x8eCc6s,22
0ICcMcG2R2QFerkVLHK1ZO,40
4iw0IpAocxcswvLRUXW0so,35
0TKnVAdTOVIDNazbwZBU8q,45
3K7yFzdYiX3mpHePVKCRIg,41
3x3jSlhyv5CiCZDZlaTq0M,19
6tSiaOS1xbLWk4xfmpcA91,39
2Swn6We5XXpyDz1YxRkprA,10
1vdSQulRJe9bTGLE9hgqXD,44
1PewUhmgIVxWerXEoflPAp,20
7vCJSBATlld5vDKTH87tpG,30
3wlvXVjzItZFhcbG3uWvgn,13
22JNV0JWTJkY1qzKJhxdRe,20
4QCrPWEJukX8n7A8iOuSzo,10
40Yq4vzPs9VNUrIBG5Jr2i,13
1KfwFmBwu00DSv3VKT8OOG,26
5Z8Qlj0jWh0OOmJ55EwSnu,6
7v65N6VyFVbEN77LFajMK5,12
14vuS77oxuFJmpXp4Dv9TY,47
2oj4gzbXrZfuPRrLpmeRBF,26
1BepPZjHUCshW6CmG6sQXU,22
3v3VSKylQE69ztn5TUVlFE,19
4ozpyL0BMzhqUDa98bISQE,30
3DKPVHC4GzISLpUdAapGiZ,42
5npjVGVAv2zKLAU00SIU81,20
6vjZXDF23Naw0RUCUsYmXl,36
4clZGxyjN1DDsUxmBomdE7,1
4fEbqV3UO3wiMvz11l7LxJ,34
1JDl9nlfg0i8EQDk7Q6hZz,26
0a7PEqrMMgqFe6NCzSNNyq,45
5pmXkV6A8yQdoa64xzvZ0S,15
2bHrkZwj7sYYsMHe5tHXaX,45
4Kyb02r7dR3H1PH7pYkb8X,3
2Wfs0XXdTrTMsmdIPKCkaC,47
4tK1TZjoCeKTUr5flyNcxN,20
4TvgUScBiJZP1P9V1tmMPi,11
0ubX7iNTyoZvqlroyIVysw,20
0sT70rawlW3M0BbnKdxdJC,40
3xZBpeXHkSjTKQIR1OeKN0,9
6mqxajda8cJOTZL8oQYlJP,28
3jPKY265XrMlohnJw3nGt0,18
4mmEKUZZBwnzg4m6hizPyN,41
2VIoWte1HPDbZ2WqHd2La7,16
6jKsnWXyWgE3jyC0Cs0Cdb,21
2xeQveiOPcOQ2wfyAtnwNZ,30
02kJSzxNuaWGqwubyUba0Z,14
4AsPSaUwVGmR6j93TXJaU6,36
1eQJWZR4idtvfxPUEqf0BI,30
5w4SswA2oIU6HUuq0xreQj,46
4b8o2oOsP2UiIQBmqov5Mf,35
3mUHAiDazZq75gh6If5zoD,34
1Yt0NXI2k1f0y884jJduBj,40
2ICSjfBpos9PxMhGhX25N2,26
