pid,sid
18,2nqUs4DYLEDAiN2Asw6neV
28,56g5YnXc5lND1JKwHvVmtl
12,0XFlg8gryhkGNr8LbOtg9u
17,1F3AaZgEV4tiIwrTm3KU1C
11,6VhOoXU0kCbxBv1rXJsYOn
9,7vreVZg4w59b32V1NtadLs
10,5pKELac0jxLRKRJ38jtXtG
9,02Z2cSHafBwVHSXIMOznWk
19,7wmW2kWf0rs3PkYPtYrg41
17,4LNJZop0ue4l84BNT2YTAN
4,2xbHmneQtHEXu0VXPIWr7e
22,13ciNQNfNo6yITcdcftFsf
1,5txDReVn0EjVRlG3D9Wa8h
10,2vK5HwcDYeREdyq36ecvjR
7,5xqDoX9PeZtmKAs2b6xaCK
8,3ecQr7rCT7h2eL0bljwsmo
28,5wrXf4khju3JgRP4ifzpzx
6,3AUoW6fh9JdH505hJESABz
20,52bkpcahUXPIAbjCJgal7D
13,6IOzde40BiXJbCx679TTSL
12,55tevo6vHJEn12nzuSdJ6R
6,4nkIPeKwHnzAJa26MaaGdn
5,4ldi9ySTY7e4rwsP0D2keZ
13,4BB3369RIqhQrM410K3dTc
22,5IXKTMLjRxMrXuIexendPQ
2,0r428sCr7h3664tMl3HnxC
28,1oEcjRah8806hoYVnLD9GO
20,1Od1p5f6818YQhWGDoOPw8
13,1Q5PmmAqdUESrVMSYN7dz6
3,1nMAameJ88kte7BkUMzGps
21,6p9pGlBPCP5GycAJC0mOcY
7,63EdAftDA8tC7ixonKdx3Y
28,6JdnLuSIRWP96w64TqybpS
3,7FCdPoAqU6iHSoMgbfcSZ1
20,4sNxgEWlbu4zliQOl3921o
11,3rvpkh2oTaD81OFRZmf0pu
23,7J2iPxDsFfGln2kiFRfHHk
1,3IxmlKXddrCjXcEkvffVwk
7,3kjBiVxCf38MoQt9eXNBY8
21,5pW96EsZNwzibIUPUYWtQ7
2,7HKa9t3LyfNlnHtbvRDo6K
17,5AUEJThVXIaR2Xa3K2s1Sr
29,4jewbSonPddYgYrBxlvHX9
11,2Mu5tnFN6dtjgfcvfohOoG
22,7vXLbrEnvFut9vei4CSWJv
26,0MclYwSuAej8oxRZLZxLwZ
28,3aFkCAEv9NxINQt2JCbjuU
6,2UpeoutEHHboOilwhvIpdy
27,0nt5m6ZoO9CnchFNktBPr5
16,3jWbUb98gOJ99wfNMTYdzw
16,0ly1RTjOQaJaZdAd9mRbOR
4,2pRFDtoFlZzfXi8m2vucsv
27,5uI1vcND0vph80NTVkRK3Y
13,4XA277ECmdGePmhOQDqEgY
4,3E7elhk68AMk7FwBjttryW
10,5oEhsR5aMUeEbKrn3OOU5A
28,18Wt5T9M2akoeRW0ItSbLh
3,1K51qmIf3nP05YIScLYx7X
22,6NeywJeDtbg7gTHBCT3Mte
27,4J7V0jJ1ma0lXAw5sMZRam
16,4w8ykSlU89dYmRQQM4GcRJ
13,6d16812ATxbVByyVgoEWBZ
12,5NVCBhVHx44yDtQfRios4v
1,6f6Hv4wvP0HKVw1Ag5ozrO
15,318zhfjuYfsz8TIp4Q5GjL
10,1JksY3QA7qtDg1Pio1gYzz
4,41PRQpeFEpp5ZzPxXtiCIW
23,6NZQ8jt5z31FwqLHsJN8a6
15,0BjHqy5tDvKhgIvcAla410
25,1AZjXqf9JywSwZMN6N3peV
20,0CONn5ofSDIdWW1VP92OzY
11,1AaOh8kb1klra0cud5jZvg
2,3a7g1D4Sp1l7G8siX7jHAx
20,4X85AQmk1w7oErO7HbGeEl
14,5EmbIrZXfokITYHbsT8CMg
30,0oQGbsUtdMHjyYJ37jOFyO
14,0GU33OZpazHp6C8jsEZalX
1,1qmlh1x3L8SALClvK0XO36
26,0YtyqOVJVNYCUZ5iIjR8VA
9,1ZPvt8lzMYTfncYEF5eVw0
18,3TtPcejZBMZi9ySU9YdGnM
9,42AXWJWk3aRNepM5oiDiXD
14,6l992Z1hbPRqdNSFSQ3MEK
15,223LjWSaoVX1e0Vo4M61aQ
23,0tMvDTM4AuJdgqUmnG0AnQ
19,3SRXZrsXfOMwBIyWIJRjQG
29,4yyA54uQhXA8ycQjv5bMHt
22,7BcfSj6KiGa5EyZG9MJPmh
6,4nwFzBA46JmO3Vz13wPKLh
30,2inqR5rCpsGc85pPOsVIQ7
28,30SHKGRTosthSvPAoAODOR
16,51pxBSUNa3sBfjJCmm3YSH
21,2t6QkJ39bAFYI6otYhQZ09
23,0QeCKBTRqq6l7Iu79vVnRK
16,6gaamTjzcZSkGogR3ndR1D
9,16OkHrt7bqRPKQzY15zjWd
25,4E8eZAbIyNpscLX1UUL2FB
24,2MpnD4ul9TsXioVoTItqEF
11,64M1uItf8E4YMzTA8zt2q8
18,0bL1pTf7pfZU0kSUmLRoj1
