sid,album_id,name,duration_ms,release_date
2nqUs4DYLEDAiN2Asw6neV,6GWD1ij0V1ICTnN2MQRDYz,Calendar Green,274827,1999-01-01
56g5YnXc5lND1JKwHvVmtl,0GIVXALgtLUTutTb2e9IWP,"Serenade for Strings in C Major, Op. 48, TH 48: III. Élégie",484227,1994-02-01
0XFlg8gryhkGNr8LbOtg9u,5FEdkLdxA2Iwh2EzfrvqsR,Pa Ella,247120,2019-09-27
1F3AaZgEV4tiIwrTm3KU1C,5MX7SERtmC5ObbiWxgVhKb,"Independent Ladies, Pt. 1",33959,2006-04-26
6VhOoXU0kCbxBv1rXJsYOn,0cfmiwgDzf8RMQzm5D9WBJ,Peaceful,552013,2006-08-14
7vreVZg4w59b32V1NtadLs,0FlQ67awnVMDfZNFsMSqbI,12 Veladoras,208600,2016-04-25
5pKELac0jxLRKRJ38jtXtG,0yX6V0ohP5UHsmcY1ArxIo,Adoro te devote,166493,1996-11-01
02Z2cSHafBwVHSXIMOznWk,3o25XaChasRqG7pIknYBfL,The Key to the Mystery,357640,2008-01-01
7wmW2kWf0rs3PkYPtYrg41,39cND2Z0TvgdQXirXLVjeg,No Love,185160,1995-05-30
4LNJZop0ue4l84BNT2YTAN,4lZOjhbFH530HK6zdzJ8sK,Wanted For Love,198120,1982-10-30
2xbHmneQtHEXu0VXPIWr7e,3VwLtl8SXrYkPD5fcfeIaG,"Jephta und seine Tochter, Pt. 2: No. 19, Wie die Sonne aufgeht in ihrer Macht",212467,2004-11-16
13ciNQNfNo6yITcdcftFsf,4QKbFCdzFOyx1rQtgLA4cf,Ay Papi!,104840,2015-01-03
5txDReVn0EjVRlG3D9Wa8h,4KjVhNZM2ITRteJaf3QeOj,Ain't Nobody Trippin',209333,1992-04-24
2vK5HwcDYeREdyq36ecvjR,6POMmUue7sNZcGPLkg4fSv,Celestial,315700,2020-09-14
5xqDoX9PeZtmKAs2b6xaCK,2T2G5q8KHo5wAAitrRzJN0,Freedom or Fire,311293,1998-07-20
3ecQr7rCT7h2eL0bljwsmo,6uRw5hrCzwRGrLuPQQiuvB,Cotton Fields,81200,2003-02-18
5wrXf4khju3JgRP4ifzpzx,48gnAQBwCcEqxXj9nfsYpS,Blue Pariah,111840,1996-01-01
3AUoW6fh9JdH505hJESABz,1pmkqhRlbMn1ABFkLDAU0N,Ronda Del Pececillo De Plata,120440,2007-11-01
52bkpcahUXPIAbjCJgal7D,2bXGg13BrGxBUUUWl233X8,One Thing True,281520,2009-07-24
6IOzde40BiXJbCx679TTSL,0bh0XYNyfyC2rybpzHTC85,Don Cuummoney,113316,2019-12-15
